Device,Start Time,End Time,Duration,Complexity,Priority,Type,Processing Time
EdgeServer,0.0,2.5374503855838295,4,5,1,Offloaded,2.5374503855838295
EdgeServer,0.0,3.9601776583111015,5,7,2,Offloaded,3.9601776583111015
EdgeServer,0.0,6.112049123125225,5,8,2,Offloaded,6.112049123125225
EdgeServer,0.0,8.160230941307043,6,8,1,Offloaded,8.160230941307043
EdgeServer,0.0,11.45482967884844,7,9,3,Offloaded,11.45482967884844
EdgeServer,0.5664880116787969,2.5374503855838295,4,5,1,Cloud,1.9709623739050326
EdgeServer,0.7664880116787969,3.9601776583111015,5,7,2,Cloud,3.1936896466323046
EdgeServer,2.5374503855838295,6.112049123125225,5,8,2,Cloud,3.574598737541396
EdgeServer,3.9601776583111015,8.160230941307043,6,8,1,Cloud,4.200053282995942
EdgeServer,6.112049123125225,11.45482967884844,7,9,3,Cloud,5.342780555723215
